我是山姆,2001,9.0,332869
九品芝麻官,1994,8.7,663296
茶馆,1982(中国大陆),9.6,138660
恐怖直播,2013,8.7,642616
花样年华,2000,8.7,596371
血战钢锯岭,2016,8.7,773517
七武士,1954,9.3,194530
色，戒,2007,8.7,788431
头脑特工队,2015,8.8,600389
惊魂记,1960,9.0,286833
黑客帝国3：矩阵革命,2003,8.8,440492
你的名字。,2016,8.5,1385678
电锯惊魂,2004,8.8,523219
三块广告牌,2017,8.7,809690
达拉斯买家俱乐部,2013,8.8,445970
疯狂原始人,2013,8.7,826873
心迷宫,2014,8.7,511810
谍影重重3,2007,8.8,411773
上帝之城,2002,9.0,297830
英雄本色,1986,8.6,531084
卢旺达饭店,2004,8.9,324894
纵横四海,1991,8.8,418381
风之谷,1984,8.9,349658
海街日记,2015,8.8,440422
爱在午夜降临前,2013,8.9,394165
绿里奇迹,1999,8.9,323524
记忆碎片,2000,8.7,592253
岁月神偷,2010,8.7,568675
忠犬八公物语,1987,9.2,192634
荒蛮故事,2014,8.8,436964
疯狂的石头,2006,8.6,807341
雨中曲,1952,9.1,220579
小偷家族,2018,8.7,802347
爆裂鼓手,2014,8.7,578936
2001太空漫游,1968,8.9,320445
无敌破坏王,2012,8.7,528474
小丑,2019,8.7,989444
背靠背，脸对脸,1994,9.5,128426
无间道2,2003,8.7,468642
贫民窟的百万富翁,2008,8.6,736043
冰川时代,2002,8.6,603402
东邪西毒,1994,8.6,569197
恐怖游轮,2009,8.5,846441
心灵奇旅,2020,8.7,959684
牯岭街少年杀人事件,1991,8.9,293147
真爱至上,2003,8.6,723955
遗愿清单,2007,8.7,451838
你看起来好像很好吃,2010,8.9,328363
魔女宅急便,1989,8.7,451545
东京教父,2003,9.0,224072
大佛普拉斯,2017,8.7,445872
黑天鹅,2010,8.6,771122
可可西里,2004,8.9,298610
城市之光,1931,9.3,143323
源代码,2011,8.5,823011
雨人,1988,8.7,398269
恋恋笔记本,2004,8.5,660020
海边的曼彻斯特,2016,8.6,525118
初恋这件小事,2010,8.5,969891
人工智能,2001,8.7,438396
虎口脱险,1966,8.9,252373
波西米亚狂想曲,2018,8.6,593779
青蛇,1993,8.6,516339
终结者2：审判日,1991,8.8,336571
罗生门,1950,8.8,309145
萤火虫之墓,1988,8.7,400464
疯狂的麦克斯4：狂暴之路,2015,8.7,519246
新龙门客栈,1992,8.7,436262
千钧一发,1997,8.8,291713
无耻混蛋,2009,8.6,468155
崖上的波妞,2008,8.6,485578
奇迹男孩,2017,8.6,545006
末路狂花,1991,8.9,247001
二十二,2015,8.7,288361
彗星来的那一夜,2013,8.6,567368
黑客帝国2：重装上阵,2003,8.7,400017
花束般的恋爱,2021,8.6,599039
爱乐之城,2016,8.4,878247
血钻,2006,8.7,374117
房间,2015,8.8,364192
战争之王,2005,8.7,362432
步履不停,2008,8.8,274859
魂断蓝桥,1940,8.8,274042
火星救援,2015,8.5,714108
芙蓉镇,1987,9.3,131288
哈利·波特与死亡圣器(上),2010,8.5,560850
千年女优,2001,8.8,261140
谍影重重2,2004,8.7,346463
阿飞正传,1990,8.5,503395
燃情岁月,1994,8.8,282346
弱点,2009,8.7,301387
谍影重重,2002,8.6,418584
朗读者,2008,8.6,448814
再次出发之纽约遇见你,2013,8.6,421171
哈利·波特与凤凰社,2007,8.5,553147
白日梦想家,2013,8.6,457712
香水,2006,8.5,537361
海洋,2009,9.1,155227
穿越时空的少女,2006,8.6,376742
